,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
1883,67900,1942.0,1800.0,4.0,1.0,38.0,0,551.1388379204893,"11212 S Stewart Ave, Chicago, IL 60628",33,3446.0,0,0,1,0
1884,139900,1926.0,858.0,2.0,1.0,163.0,0,252.0,"2945 W Rosemont Ave Apt 1W, Chicago, IL 60659",33,858.0,1,0,0,0
1885,133000,1942.0,3101.0,3.0,2.0,43.0,2,551.1388379204893,"9619 S Princeton Ave, Chicago, IL 60628",15,3101.0,0,0,1,0
1886,169999,2023.0,950.0,2.0,1.0,179.0,0,383.0,"4130 N Kedvale Ave Unit 6, Chicago, IL 60641",33,950.0,1,0,0,0
1887,264900,1905.0,3049.0,6.0,2.0,87.0,2,551.1388379204893,"5941 S Justine St, Chicago, IL 60636",33,3049.0,0,1,0,0
1888,315000,1925.0,1925.0,5.0,3.0,164.0,2,551.1388379204893,"8342 S Elizabeth St, Chicago, IL 60620",34,3781.0,0,0,1,0
1889,240000,1910.0,914.0,1.0,1.0,263.0,1,414.0,"600 S Dearborn St Apt 1903, Chicago, IL 60605",33,914.0,1,0,0,0
1892,499900,1915.0,1800.0,4.0,2.0,278.0,2,200.0,"3646 S Union Ave, Chicago, IL 60609",33,2975.0,0,0,1,0
1893,399000,1991.0,1118.0,2.0,2.0,357.0,1,684.0,"440 N Wabash Ave Apt 2009, Chicago, IL 60611",33,1118.0,1,0,0,0
1897,400000,1992.0,1118.0,2.0,2.0,358.0,1,583.0,"440 N Wabash Ave Apt 1805, Chicago, IL 60611",33,1118.0,1,0,0,0
1898,250000,2000.0,775.0,1.0,1.0,323.0,1,327.0,"1430 S Michigan Ave Apt 202, Chicago, IL 60605",33,775.0,1,0,0,0
1899,339900,1958.0,1292.0,2.0,1.5,263.0,2,305.0,"6918 W Berwyn Ave, Chicago, IL 60656",33,2500.0,0,0,1,0
